NR_ZONA,taxa_alfab,n_locais_join
1,0.9035087719298246,25.0
2,0.8924847177274362,30.0
3,0.874671669793621,16.0
4,0.8791703572483023,27.0
5,0.882365972529907,19.0
6,0.9201113430758525,27.0
20,0.8109031733116355,37.0
246,0.8821218074656189,21.0
247,0.8329949620272201,25.0
248,0.8276656765338523,31.0
249,0.8924005960316838,28.0
250,0.8716378964271377,50.0
251,0.8888619561265301,26.0
252,0.8620225356105167,28.0
253,0.8762414755824065,49.0
254,0.8579536496925745,40.0
255,0.8571428571428571,38.0
256,0.8538427167113494,40.0
257,0.8733516483516484,43.0
258,0.8996328029375765,31.0
259,0.8974125732767334,34.0
260,0.8719520409537923,36.0
280,0.8527817527427258,40.0
320,0.8644702842377261,39.0
325,0.8872091776562667,23.0
326,0.827128984063745,31.0
327,0.869466844578523,35.0
328,0.8281337047353761,30.0
346,0.87625,37.0
347,0.849209739427595,44.0
348,0.8596551724137931,25.0
349,0.8530983585697925,30.0
350,0.8339404128140468,30.0
351,0.8337182448036952,26.0
352,0.8127178440873927,42.0
353,0.8002778139514694,43.0
371,0.824309949051005,33.0
372,0.8018648967791848,47.0
373,0.8220191470844213,28.0
374,0.8502333649993804,48.0
375,0.8221535352334532,57.0
376,0.8177893210105576,56.0
381,0.8101398601398602,56.0
389,0.82170582226762,48.0
390,0.835568669527897,28.0
392,0.8453380468404772,34.0
397,0.8209269293492556,31.0
398,0.8165559865868893,25.0
403,0.8254741734762726,25.0
404,0.8055569143472093,38.0
405,0.8226378587552402,22.0
408,0.83660053996948,31.0
413,0.8568736257983457,30.0
417,0.834795100559504,25.0
418,0.8262736451201114,39.0
420,0.8402787082942517,29.0
421,0.8238833912810912,27.0
422,0.8477454120278582,35.0
