SQ_CANDIDATO,NM_VOTAVEL,NR_ZONA,QT_VOTOS,total_votos,receita_total,partido,Recursos de partido político,Recursos de pessoas físicas,Recursos próprios,Recursos de Financiamento Coletivo,zona,zona_nome,pct_partido,pct_pf,pct_proprio,pct_crowdfund
250002052119.0,AMANDA MARQUES PASCHOAL,1.0,2348.0,56552.0,604880.9,PSOL,557283.5700000001,34396.0,0.0,13201.330000000002,1,Bela Vista,92.13112366417919,5.686408679791343,0.0,2.1824676560294765
250002052116.0,LUANA DOS SANTOS ALVES SILVA,1.0,1675.0,45931.0,601539.49,PSOL,462480.17,36313.39,33718.29,50159.72,1,Bela Vista,76.88276126310511,6.036742492167887,5.605332743823685,8.338558121928122
250001913953.0,NABIL GEORGES BONDUKI,1.0,1308.0,25331.0,1250124.19,PT,889165.27,310600.0,30328.77,20030.15,1,Bela Vista,71.12615507424107,24.84553154674977,2.426060566030644,1.6022528129785254
250001913956.0,LUNA ZARATTINI BRANDÃO,1.0,1198.0,57053.0,1951350.87,PT,1698363.87,239500.0,0.0,13487.0,1,Bela Vista,87.03528904568557,12.273548733959874,0.0,0.6911622203545588
250001973467.0,LUCAS PAVANATO DE OLIVEIRA,1.0,996.0,82691.0,1077658.34,PL,1000000.0,76400.0,1258.34,0.0,1,Bela Vista,92.79378842834362,7.089445435925453,0.1167661357309219,0.0
250002174669.0,MURILLO DE OLIVEIRA LIMA,1.0,835.0,65945.0,2780000.0,PP,2660000.0,45000.0,75000.0,0.0,1,Bela Vista,95.68345323741008,1.618705035971223,2.697841726618705,0.0
250002079329.0,CRISTINA PEREIRA MONTEIRO,2.0,2971.0,24502.0,1357878.0,NOVO,1115700.0,223620.0,0.0,18558.0,2,Perdizes,82.16496621935107,16.468342516779856,0.0,1.3666912638690663
250001913953.0,NABIL GEORGES BONDUKI,2.0,2229.0,25331.0,1250124.19,PT,889165.27,310600.0,30328.77,20030.15,2,Perdizes,71.12615507424107,24.84553154674977,2.426060566030644,1.6022528129785254
250002052119.0,AMANDA MARQUES PASCHOAL,2.0,2097.0,56552.0,604880.9,PSOL,557283.5700000001,34396.0,0.0,13201.330000000002,2,Perdizes,92.13112366417919,5.686408679791343,0.0,2.1824676560294765
250002052116.0,LUANA DOS SANTOS ALVES SILVA,2.0,2024.0,45931.0,601539.49,PSOL,462480.17,36313.39,33718.29,50159.72,2,Perdizes,76.88276126310511,6.036742492167887,5.605332743823685,8.338558121928122
250002052100.0,MARINA AMADEU BATISTA BRAGANTE,2.0,1790.0,20203.0,1331856.4000000001,REDE,886000.0,375426.0,0.0,51562.48,2,Perdizes,66.52368828951829,28.188174040384528,0.0,3.8714744322285797
250001913956.0,LUNA ZARATTINI BRANDÃO,2.0,1678.0,57053.0,1951350.87,PT,1698363.87,239500.0,0.0,13487.0,2,Perdizes,87.03528904568557,12.273548733959874,0.0,0.6911622203545588
250002052119.0,AMANDA MARQUES PASCHOAL,3.0,1481.0,56552.0,604880.9,PSOL,557283.5700000001,34396.0,0.0,13201.330000000002,3,Santa Ifigênia,92.13112366417919,5.686408679791343,0.0,2.1824676560294765
250001973467.0,LUCAS PAVANATO DE OLIVEIRA,3.0,1151.0,82691.0,1077658.34,PL,1000000.0,76400.0,1258.34,0.0,3,Santa Ifigênia,92.79378842834362,7.089445435925453,0.1167661357309219,0.0
250001977564.0,ANDRÉ LUIZ SANTOS ESTEVES,3.0,1127.0,22384.0,833076.0,REPUBLICANOS,636376.0,196700.0,0.0,0.0,3,Santa Ifigênia,76.38870883328772,23.61129116671228,0.0,0.0
250002174669.0,MURILLO DE OLIVEIRA LIMA,3.0,1100.0,65945.0,2780000.0,PP,2660000.0,45000.0,75000.0,0.0,3,Santa Ifigênia,95.68345323741008,1.618705035971223,2.697841726618705,0.0
250001881809.0,RUBENS ALBERTO GATTI NUNES,3.0,999.0,60555.0,2190134.39,UNIÃO,873792.2,1306342.19,10000.0,0.0,3,Santa Ifigênia,39.89673893938536,59.646668075012514,0.4565929856021301,0.0
250002052116.0,LUANA DOS SANTOS ALVES SILVA,3.0,919.0,45931.0,601539.49,PSOL,462480.17,36313.39,33718.29,50159.72,3,Santa Ifigênia,76.88276126310511,6.036742492167887,5.605332743823685,8.338558121928122
