NR_ZONA,n_locais,n_universidade,n_progressista,n_prestigio,n_internacional,n_cultural_progressista,nome_ze,indice_cultural,renda_pc_media,escore_ver_2024,escore_pref_2024
1,25,11,0,1,0,12,BELA VISTA,48.0,1804.5788,5.520269672653457,5.027663701936113
2,30,3,1,1,0,5,PERDIZES,16.666666666666664,3136.760333333333,5.706628709144447,5.275030263334034
3,17,3,0,0,0,3,SANTA IFIGENIA,17.647058823529413,991.594705882353,6.06186150254315,5.516443160095245
4,28,0,0,0,0,0,MOOCA,0.0,1499.587857142857,6.492458370753973,5.93793468119903
5,19,1,0,0,1,2,JARDIM PAULISTA,10.526315789473683,5364.548947368421,6.143114739648752,5.648896660763977
6,27,2,0,1,0,3,VILA MARIANA,11.11111111111111,3263.541481481481,5.996591265393961,5.481054018623994
20,37,0,0,0,0,0,VALO VELHO,0.0,577.7063888888889,6.147970629255886,5.347509410917575
246,22,2,0,0,0,2,SANTO AMARO,9.090909090909092,2634.869090909091,6.417884493951892,5.885056769253809
247,26,1,0,0,0,1,SAO MIGUEL PAULISTA,3.8461538461538463,819.2542307692308,6.380812274308321,5.758602625219788
248,32,1,0,0,0,1,ITAQUERA,3.125,790.4815625,6.241893872466888,5.690801858181293
249,29,2,0,0,0,2,SANTANA,6.896551724137931,1838.654827586207,6.4135268585131895,5.867917424791715
250,54,1,1,0,0,2,LAPA,3.7037037037037033,1707.3512962962964,6.100535523282071,5.66089501837347
251,27,1,4,3,2,10,PINHEIROS,37.03703703703704,3819.414814814815,5.534277032512121,5.159698110030182
252,29,1,0,0,0,1,PENHA DE FRANCA,3.4482758620689653,1184.6162068965518,6.343767715944471,5.814760157860475
253,49,0,0,0,0,0,TATUAPE,0.0,1484.2804081632655,6.496417817302441,5.954945022000425
254,42,2,0,0,0,2,VILA MARIA,4.761904761904762,1033.86775,6.635611839106267,6.034484413774012
255,39,0,0,0,0,0,CASA VERDE,0.0,1143.5984615384614,6.407570999567311,5.840970554440705
256,41,0,0,0,0,0,TUCURUVI,0.0,1187.310243902439,6.620323605539812,5.901771699165317
257,43,0,0,0,0,0,VILA PRUDENTE,0.0,1286.206341463415,6.449686601071193,5.866226010511719
258,31,0,0,0,0,0,INDIANOPOLIS,0.0,3503.7423333333336,6.3923615157901805,5.878342778123157
259,34,1,0,0,0,1,SAUDE,2.941176470588235,2926.7000000000003,6.123032418295421,5.606843668453765
260,38,1,0,0,0,1,IPIRANGA SAO,2.631578947368421,1512.1339473684209,6.398734884379822,5.767856200362442
280,41,0,1,0,0,1,CAPELA DO SOCORRO,2.4390243902439024,1003.4973170731708,6.187944186131654,5.702598563681665
320,39,1,0,0,0,1,JABAQUARA,2.564102564102564,1471.929761904762,6.351431536179995,5.692204319718623
325,24,0,0,0,0,0,PIRITUBA,0.0,1227.5273076923077,6.034717638661461,5.752628440412601
326,32,0,0,0,0,0,ERMELINO MATARAZZO,0.0,745.5187096774195,6.291523904486463,5.756944969677969
327,35,0,0,0,0,0,NOSSA SENHORA DO O,0.0,1104.014,6.238305952283918,5.721377015525427
328,30,0,0,0,0,0,CAMPO LIMPO,0.0,731.8431034482759,6.276012363169621,5.44732810615199
346,37,2,1,1,1,5,BUTANTA,13.513513513513514,2966.32,6.162807908610128,5.561635423064957
347,44,0,0,0,0,0,VILA MATILDE,0.0,910.9447727272728,6.441674991977429,5.847163404138357
348,26,0,0,0,0,0,VILA FORMOSA,0.0,1247.0776923076924,6.525847789771267,5.986088450504757
349,31,0,0,0,0,0,JACANA,0.0,1028.1909677419355,6.5731518235898445,5.843242030221211
350,30,0,0,0,0,0,SAPOPEMBA,0.0,745.0009677419355,6.3649173912160535,5.783447232300755
351,26,0,0,0,0,0,CIDADE ADEMAR,0.0,1093.6065384615383,6.343370597293937,5.718230969308133
352,44,0,0,0,0,0,ITAIM PAULISTA,0.0,562.5159090909091,6.217344495705957,5.699804405407971
353,44,0,0,0,0,0,GUAIANASES,0.0,556.1379545454546,6.124717485457477,5.591809550404915
371,41,0,0,0,0,0,GRAJAU,0.0,649.8374418604652,6.044266945567359,5.557885337381026
372,55,0,1,0,0,1,PIRAPORINHA SAO,1.8181818181818181,645.18125,6.356666745598962,5.376444143398309
373,28,0,0,0,0,0,CAPAO REDONDO,0.0,693.4303571428571,6.347104967783526,5.471791558216997
374,49,1,1,2,0,4,RIO PEQUENO,8.16326530612245,1409.5055102040817,6.15447136244032,5.513093837101269
375,58,0,0,0,0,0,SAO MATEUS,0.0,640.6005882352941,5.905232807171842,5.491364186091028
376,56,0,0,0,0,0,BRASILANDIA,0.0,679.5564150943396,6.238772821406363,5.710952337502903
381,62,0,0,0,0,0,PARELHEIROS,0.0,552.4363636363636,6.275045045387889,5.619340638532005
389,53,0,0,0,0,0,PERUS,0.0,659.566,6.2044905703130455,5.663876407249048
390,29,0,0,0,1,1,CANGAIBA,3.4482758620689653,704.6341379310345,6.443172268627686,5.843687498442911
392,34,1,0,0,0,1,PONTE RASA,2.941176470588235,852.2376470588235,6.345694749029202,5.783731589308161
397,31,0,0,0,0,0,JARDIM HELENA,0.0,549.6619354838709,6.185535552236683,5.686049868659014
398,27,0,0,0,0,0,VILA JACUI,0.0,754.1514814814815,,
403,27,0,0,0,0,0,JARAGUA,0.0,685.1956,6.211066529675966,5.652446673578885
404,44,0,0,0,0,0,CIDADE TIRADENTES,0.0,511.76024390243896,5.907342538259868,5.426210120451714
405,23,0,0,0,0,0,CONJUNTO JOSE BONIFACIO,0.0,692.2968181818183,6.154738912679478,5.57444992679768
408,36,0,0,0,0,0,JARDIM SAO LUIS,0.0,1318.7336111111113,6.258594604280042,5.5190255301462665
413,30,0,0,0,0,0,CURSINO,0.0,1370.673,6.387793738215739,5.714418479325886
417,26,0,0,0,0,0,PARQUE DO CARMO,0.0,814.0057692307693,6.173581337041485,5.705728081078497
418,42,0,0,0,0,0,PEDREIRA SAO,0.0,781.5485714285714,6.380455978712698,5.7986200564753805
420,29,0,0,0,0,0,VILA SABRINA,0.0,856.9768965517242,6.680542696216159,5.996563962309859
421,28,0,0,0,0,0,TEOTONIO VILELA,0.0,662.5577777777778,6.246164754503968,5.645734207018333
422,35,0,0,0,0,0,LAUZANE PAULISTA,0.0,982.536875,6.448008120445493,5.878004422360752
