NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DESCONHECIDO,DIR,ESQ,CENTRO,total,pct_esq,pct_dir,bairro
404.0,1112.0,EMEF CAMILO CASTELO BRANCO,1.0,115.0,454.0,0,569.0,79.78910369068541,20.210896309314588,Cidade Tiradentes
389.0,1686.0,EMEF. JARDIM DA CONQUISTA,0.0,191.0,716.0,0,907.0,78.94156560088203,21.05843439911797,Perus
251.0,1511.0,EMEI. PROFª ZILDA DE FRANCESCHI,1.0,171.0,552.0,0,723.0,76.34854771784232,23.651452282157674,Pinheiros
421.0,1244.0,EE. VALDIR FERNANDES PINTO,1.0,153.0,480.0,0,633.0,75.82938388625593,24.170616113744074,Teotonio Vilela
326.0,1635.0,E.M.E.I. PROFª RUTH GONÇALVES CHAVES,1.0,128.0,379.0,0,507.0,74.7534516765286,25.2465483234714,Ermelino Matarazzo
346.0,1848.0,EMEF DES AMORIM LIMA,15.0,600.0,1761.0,0,2361.0,74.58703939008895,25.412960609911057,Butanta
251.0,1503.0,EMEF. PROFº OLAVO PEZZOTTI,2.0,293.0,858.0,0,1151.0,74.54387489139879,25.456125108601217,Pinheiros
1.0,1139.0,EE. CAETANO DE CAMPOS,5.0,825.0,2351.0,0,3176.0,74.02392947103274,25.976070528967256,Bela Vista
247.0,2100.0,E.E. HÉLIO HELENE,0.0,163.0,456.0,0,619.0,73.66720516962843,26.33279483037157,Sao Miguel Paulista
2.0,1546.0,COLÉGIO EQUIPE,0.0,251.0,696.0,0,947.0,73.49524815205913,26.504751847940867,Perdizes
418.0,1325.0,CEI. PROFª MARIA DO CARMO PAZOS FERNANDEZ - MADU (CEI PARQUE SABARÁ),0.0,149.0,402.0,0,551.0,72.95825771324864,27.041742286751365,Pedreira Sao
1.0,1562.0,FACULDADE PHORTE,2.0,315.0,831.0,0,1146.0,72.5130890052356,27.486910994764397,Bela Vista
392.0,1619.0,FATEC - FACULDADE DE TECNOLOGIA DA ZONA LESTE,2.0,210.0,550.0,0,760.0,72.36842105263158,27.631578947368425,Ponte Rasa
251.0,1163.0,COLÉGIO STELLA MARIS,4.0,646.0,1679.0,0,2325.0,72.21505376344086,27.784946236559136,Pinheiros
251.0,1309.0,GOETHE- INSTITUT,4.0,614.0,1593.0,0,2207.0,72.17942908926143,27.820570910738557,Pinheiros
404.0,1260.0,EMEF. PROFESSORA OLINDA MENEZES SERRA VIDAL,1.0,492.0,1269.0,0,1761.0,72.06132879045997,27.938671209540033,Cidade Tiradentes
403.0,1600.0,EMEF. PROFª  ALICE MEIRELLES REIS,1.0,353.0,885.0,0,1238.0,71.48626817447496,28.513731825525042,Jaragua
346.0,1856.0,EE PROFESSORA CLORINDA DANTI,5.0,505.0,1255.0,0,1760.0,71.30681818181817,28.693181818181817,Butanta
408.0,1392.0,CEI CEU PARAISÓPOLIS,0.0,308.0,753.0,0,1061.0,70.97078228086711,29.029217719132895,Jardim Sao Luis
389.0,1694.0,ETEC. GILDO MARÇAL BEZERRA BRANDÃO,1.0,234.0,567.0,0,801.0,70.78651685393258,29.213483146067414,Perus
413.0,1309.0,EMEI PROFª  FÁTIMA REGINA DA CRUZ SABINO CALAÇA,0.0,200.0,481.0,0,681.0,70.63142437591777,29.368575624082233,Cursino
404.0,1317.0,EMEF DR. JOSE AUGUSTO CESAR SALGADO,1.0,358.0,831.0,0,1189.0,69.89066442388562,30.109335576114383,Cidade Tiradentes
346.0,1864.0,ESCOLA DA VILA - VILA DAS INFÂNCIAS,8.0,693.0,1593.0,0,2286.0,69.68503937007874,30.314960629921263,Butanta
325.0,2143.0,EE. PIO XII,3.0,217.0,496.0,0,713.0,69.56521739130434,30.434782608695656,Pirituba
251.0,1600.0,ESCOLA LUMIAR,0.0,321.0,723.0,0,1044.0,69.25287356321839,30.747126436781606,Pinheiros
417.0,1104.0,EE. PROFA. LINA DA COSTA COUTO,0.0,314.0,696.0,0,1010.0,68.9108910891089,31.08910891089109,Parque Do Carmo
1.0,1058.0,EE. MARIA JOSÉ,4.0,823.0,1794.0,0,2617.0,68.55177684371418,31.448223156285827,Bela Vista
403.0,1163.0,E.E. PROFA. ELIANA PASSUELO,3.0,283.0,601.0,0,884.0,67.98642533936652,32.01357466063348,Jaragua
372.0,2089.0,CLARICE BENVINDA SANTOS SILVA PROFA - EMEI,1.0,290.0,614.0,0,904.0,67.92035398230088,32.07964601769911,Piraporinha Sao
2.0,1104.0,ESCOLA ESTADUAL PROFESSOR FIDELINO DE FIGUEIREDO,6.0,1008.0,2117.0,0,3125.0,67.744,32.256,Perdizes
1.0,1520.0,MACKENZIE PRÉDIO 09 - ITAMBÉ,4.0,749.0,1552.0,0,2301.0,67.44893524554541,32.551064754454586,Bela Vista
20.0,1201.0,EE. JOSÉ PORPHYRIO DA PAZ,2.0,730.0,1508.0,0,2238.0,67.38159070598749,32.618409294012515,Valo Velho
1.0,1210.0,USP - FACULDADE DE DIREITO,3.0,845.0,1745.0,0,2590.0,67.37451737451737,32.625482625482626,Bela Vista
320.0,1600.0,CEU - CEI PROFESSORA DULCE SALLES CUNHA BRAGA,1.0,192.0,395.0,0,587.0,67.29131175468484,32.70868824531516,Jabaquara
351.0,1651.0,COLÉGIO VIDEIRA FILHO,0.0,220.0,449.0,0,669.0,67.1150971599402,32.884902840059794,Cidade Ademar
2.0,1066.0,UNINOVE - BARRA FUNDA,5.0,699.0,1400.0,0,2099.0,66.69842782277274,33.30157217722725,Perdizes
374.0,1589.0,EE PROFESSOR ARCHITICLINO SANTOS,3.0,489.0,967.0,0,1456.0,66.41483516483517,33.58516483516483,Rio Pequeno
257.0,1104.0,ETEC JOSÉ ROCHA MENDES,1.0,296.0,581.0,0,877.0,66.24857468643101,33.75142531356899,Vila Prudente
257.0,1201.0,EE. PROFª BRANCA DE CASTRO DO CANTO E MELLO,4.0,362.0,697.0,0,1059.0,65.81680830972616,34.183191690273844,Vila Prudente
404.0,1198.0,EMEF. JUSCELINO KUBITSCHEK DE OLIVEIRA,1.0,550.0,1054.0,0,1604.0,65.71072319201996,34.28927680798005,Cidade Tiradentes
1.0,1015.0,COLÉGIO OBJETIVO,5.0,1313.0,2515.0,0,3828.0,65.70010449320795,34.29989550679206,Bela Vista
1.0,1589.0,MACKENZIE - PRÉDIO 25 - CONSOLAÇÃO,0.0,258.0,487.0,0,745.0,65.36912751677852,34.630872483221474,Bela Vista
346.0,1597.0,COLÉGIO ITACA,3.0,421.0,792.0,0,1213.0,65.2926628194559,34.70733718054411,Butanta
251.0,1279.0,COLÉGIO VERA CRUZ,1.0,327.0,614.0,0,941.0,65.24973432518597,34.75026567481403,Pinheiros
20.0,1023.0,EE. YOSHIO NINOMIYA,1.0,634.0,1187.0,0,1821.0,65.18396485447556,34.81603514552444,Valo Velho
251.0,1015.0,EE. FERNÃO DIAS PAES,5.0,811.0,1517.0,0,2328.0,65.16323024054984,34.83676975945017,Pinheiros
326.0,2224.0,E.M.E.F. RAUL PILLA,0.0,485.0,898.0,0,1383.0,64.93130874909617,35.06869125090383,Ermelino Matarazzo
403.0,1198.0,EMEI. JÚLIO ALVES PEREIRA,0.0,202.0,373.0,0,575.0,64.8695652173913,35.130434782608695,Jaragua
5.0,1317.0,COLÉGIO DOMUS SAPIENTIAE,2.0,334.0,616.0,0,950.0,64.84210526315789,35.1578947368421,Jardim Paulista
