NR_SECAO,escore,votos,local
54.0,8.13,70.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
15.0,8.13,53.0,UNIFEOB CAMPUS MANTIQUEIRA
62.0,8.13,96.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
51.0,8.13,82.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
52.0,8.13,68.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
65.0,8.13,60.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
167.0,8.13,79.0,EMEIF SARAH SALOMÃO
292.0,8.13,75.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
214.0,8.13,88.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
220.0,8.13,55.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
177.0,8.13,79.0,EE MONSENHOR ANTONIO DAVID - E.F.
299.0,8.13,68.0,EMEIF PROF. GERMANO CASSIOLATO
310.0,8.13,44.0,EMEB ANTONIO JOSÉ MINGHINI
304.0,8.13,41.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
119.0,8.13,91.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
115.0,8.13,103.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
118.0,8.13,61.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
137.0,8.06,115.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
18.0,8.05820512820513,78.0,UNIFEOB CAMPUS MANTIQUEIRA
53.0,8.047803030303031,132.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
31.0,8.044782608695654,115.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
130.0,8.043483146067416,89.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
93.0,8.043333333333335,105.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
121.0,8.037692307692309,91.0,EE DR.TEÓFILO DE ANDRADE - EF
143.0,8.0370796460177,113.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
77.0,8.033448275862069,87.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
135.0,8.027752808988764,89.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
47.0,8.026521739130436,115.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
106.0,8.013333333333334,102.0,EMEIF PROF. GERMANO CASSIOLATO
12.0,7.78,28.0,UNIFEOB CAMPUS MANTIQUEIRA
192.0,7.78,33.0,EE.PROFª ANESIA MARTINS MATOS -EF
203.0,7.78,27.0,COLÉGIO EL SHADAI
191.0,7.78,27.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
141.0,7.646414141414142,198.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
200.0,7.644715909090909,176.0,EE MONSENHOR ANTONIO DAVID - E.F.
175.0,7.633106796116505,206.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
133.0,7.61909090909091,165.0,UNIFEOB CAMPUS MANTIQUEIRA
301.0,7.6062980769230775,208.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
33.0,7.5940851063829795,235.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
172.0,7.587718446601943,206.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
148.0,7.580454545454546,176.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
14.0,7.579785714285715,140.0,UNIFEOB CAMPUS MANTIQUEIRA
64.0,7.573785046728972,214.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
24.0,7.571330275229359,218.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
166.0,7.567383177570094,214.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
132.0,7.567238805970149,134.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
91.0,7.5618128654970755,171.0,EMEB MARIA DE LOURDES TEIXEIRA
159.0,7.5587064676616915,201.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
112.0,7.55177304964539,141.0,EMEB MARIA DE LOURDES TEIXEIRA
63.0,7.550465116279069,215.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
78.0,7.547658536585366,205.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
41.0,7.547249999999999,200.0,EE DR.TEÓFILO DE ANDRADE - EF
202.0,7.543236714975844,207.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
123.0,7.540781249999999,192.0,EE.PROFª ANESIA MARTINS MATOS -EF
68.0,7.540300751879699,133.0,EE MONSENHOR ANTONIO DAVID - E.F.
217.0,7.537594936708861,158.0,EMEF DR JOSÉ PROCÓPIO DO AMARAL
212.0,7.534044943820224,178.0,EMEIF JOSÉ PERES CASTELHANO
291.0,7.528486486486487,185.0,EMEIF PROF. GERMANO CASSIOLATO
92.0,7.5282857142857145,140.0,EMEB MARIA DE LOURDES TEIXEIRA
95.0,7.525023255813954,215.0,EE.PROFª ANESIA MARTINS MATOS -EF
34.0,7.517739130434784,230.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
170.0,7.511777777777777,180.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
104.0,7.5045812807881775,203.0,EE.PROFª ANESIA MARTINS MATOS -EF
