NR_SECAO,escore,votos,local
180.0,7.103390804597701,145.0,EMEIF PROF. GERMANO CASSIOLATO
57.0,7.080693581780539,161.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
118.0,7.041489898989898,132.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
301.0,6.997046070460705,123.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
89.0,6.992682445759368,169.0,EE DR.TEÓFILO DE ANDRADE - EF
122.0,6.948385012919897,129.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
219.0,6.940297297297298,185.0,EMEB ANTONIO JOSÉ MINGHINI
59.0,6.9244020356234115,131.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
206.0,6.907254273504273,156.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
88.0,6.893607594936709,158.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
214.0,6.85702947845805,147.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
60.0,6.831325051759835,161.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
12.0,6.790285714285713,105.0,UNIFEOB CAMPUS MANTIQUEIRA
200.0,6.777923976608187,114.0,EE MONSENHOR ANTONIO DAVID - E.F.
160.0,6.777582846003899,171.0,EMEIF PROF. GERMANO CASSIOLATO
92.0,6.7501984126984125,84.0,EMEB MARIA DE LOURDES TEIXEIRA
91.0,6.742955974842765,106.0,EMEB MARIA DE LOURDES TEIXEIRA
138.0,6.731942355889724,133.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
186.0,6.72286701208981,193.0,EMEIF PROF. GERMANO CASSIOLATO
61.0,6.71447311827957,155.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
187.0,6.69266975308642,108.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
126.0,6.680752032520326,164.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
31.0,6.671501377410468,121.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
145.0,6.667850877192983,152.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
20.0,6.6412916666666675,160.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
195.0,6.637333333333333,105.0,UNIFEOB CAMPUS MANTIQUEIRA
