NR_ZONA,renda_resp_2022,n_locais,nome_ze,escore_ver_2024,escore_pref_2024
5,16681.704210526317,19,JARDIM PAULISTA,6.143114739648752,5.648896660763977
251,13004.400384615383,26,PINHEIROS,5.534277032512121,5.159698110030182
258,12050.624193548389,31,INDIANOPOLIS,6.3923615157901805,5.878342778123157
2,10549.9,30,PERDIZES,5.7066287091444465,5.275030263334034
259,9328.812352941177,34,SAUDE,6.123032418295421,5.606843668453765
6,9257.881851851851,27,VILA MARIANA,5.996591265393961,5.481054018623994
346,9147.436216216216,37,BUTANTA,6.1628079086101275,5.561635423064957
246,8628.096666666666,21,SANTO AMARO,6.417884493951892,5.885056769253809
249,8191.4225,28,SANTANA,6.4135268585131895,5.867917424791715
250,6499.6608,50,LAPA,6.100535523282071,5.66089501837347
1,6462.9864,25,BELA VISTA,5.520269672653457,5.027663701936113
253,5843.690612244898,49,TATUAPE,6.496417817302441,5.954945022000425
408,5284.288709677419,31,JARDIM SAO LUIS,6.258594604280042,5.5190255301462665
4,5213.551851851852,27,MOOCA,6.492458370753973,5.93793468119903
260,5068.927222222223,36,IPIRANGA SAO,6.398734884379822,5.767856200362442
320,4665.488205128206,39,JABAQUARA,6.351431536179995,5.692204319718623
348,4651.3108,25,VILA FORMOSA,6.525847789771267,5.986088450504757
257,4612.29488372093,43,VILA PRUDENTE,6.449686601071193,5.866226010511719
252,4537.9060714285715,28,PENHA DE FRANCA,6.343767715944471,5.814760157860475
254,4502.8485,40,VILA MARIA,6.635611839106267,6.034484413774012
374,4474.544791666666,48,RIO PEQUENO,6.1544713624403204,5.513093837101269
325,4416.461304347826,23,PIRITUBA,6.034717638661461,5.752628440412601
256,4358.8305,40,TUCURUVI,6.620323605539812,5.901771699165317
327,4147.196857142858,35,NOSSA SENHORA DO O,6.238305952283918,5.721377015525427
255,4100.30447368421,38,CASA VERDE,6.407570999567311,5.840970554440705
413,3910.1766666666667,30,CURSINO,6.387793738215739,5.714418479325886
351,3874.7761538461536,26,CIDADE ADEMAR,6.343370597293937,5.718230969308133
3,3743.35,16,SANTA IFIGENIA,6.06186150254315,5.516443160095245
349,3678.8793333333333,30,JACANA,6.5731518235898445,5.843242030221211
422,3556.9325714285715,35,LAUZANE PAULISTA,6.448008120445493,5.8780044223607515
417,3493.1004,25,PARQUE DO CARMO,6.173581337041485,5.705728081078497
280,3334.96775,40,CAPELA DO SOCORRO,6.187944186131654,5.702598563681665
248,3308.527419354839,31,ITAQUERA,6.241893872466888,5.690801858181293
347,3304.4602272727275,44,VILA MATILDE,6.441674991977429,5.847163404138357
392,3178.6961764705884,34,PONTE RASA,6.345694749029202,5.783731589308161
390,3048.414285714286,28,CANGAIBA,6.443172268627686,5.843687498442911
420,2984.752068965517,29,VILA SABRINA,6.680542696216159,5.996563962309859
373,2973.016428571428,28,CAPAO REDONDO,6.347104967783526,5.471791558216997
418,2937.6641025641024,39,PEDREIRA SAO,6.380455978712698,5.7986200564753805
376,2891.2633928571427,56,BRASILANDIA,6.238772821406363,5.710952337502903
398,2874.6020000000003,25,VILA JACUI,,
389,2864.1727083333335,48,PERUS,6.2044905703130455,5.663876407249048
326,2782.395806451613,31,ERMELINO MATARAZZO,6.291523904486463,5.756944969677969
247,2715.71,25,SAO MIGUEL PAULISTA,6.380812274308321,5.758602625219788
328,2613.7213333333334,30,CAMPO LIMPO,6.276012363169621,5.44732810615199
403,2595.7024,25,JARAGUA,6.211066529675966,5.652446673578885
371,2488.040303030303,33,GRAJAU,6.044266945567359,5.557885337381026
375,2483.3287719298246,57,SAO MATEUS,5.905232807171842,5.491364186091028
350,2481.7059999999997,30,SAPOPEMBA,6.3649173912160535,5.783447232300755
405,2444.913181818182,22,CONJUNTO JOSE BONIFACIO,6.154738912679478,5.57444992679768
421,2423.485185185185,27,TEOTONIO VILELA,6.246164754503968,5.645734207018333
352,2349.7083333333335,42,ITAIM PAULISTA,6.217344495705957,5.699804405407971
381,2332.0435714285713,56,PARELHEIROS,6.275045045387889,5.619340638532005
372,2269.926595744681,47,PIRAPORINHA SAO,6.356666745598962,5.3764441433983094
397,2235.5867741935485,31,JARDIM HELENA,6.185535552236683,5.686049868659014
20,2227.3272972972973,37,VALO VELHO,6.147970629255886,5.347509410917575
404,2132.0357894736844,38,CIDADE TIRADENTES,5.907342538259868,5.426210120451714
353,2002.5344186046511,43,GUAIANASES,6.124717485457477,5.591809550404915
