nr_zona,votos_bolsonaro,votos_tarcisio,ratio_tarc_bolso,diff_tarc_bolso,pct_tarc_relativo_bolso,nome_ze,indice_cultural
253,81986.0,66368.0,0.8095040616690654,-15618.0,-19.04959383309346,TATUAPE,0.0
374,66564.0,52851.0,0.7939877411213269,-13713.0,-20.601225887867315,RIO PEQUENO,8.16326530612245
375,66037.0,49580.0,0.7507912231022003,-16457.0,-24.920877689779974,SAO MATEUS,0.0
258,65737.0,57330.0,0.8721115962091364,-8407.0,-12.788840379086363,INDIANOPOLIS,0.0
376,63641.0,47563.0,0.7473641206140695,-16078.0,-25.263587938593048,BRASILANDIA,0.0
257,61361.0,49004.0,0.7986180146998908,-12357.0,-20.13819853001092,VILA PRUDENTE,0.0
255,58951.0,45890.0,0.7784431137724551,-13061.0,-22.15568862275449,CASA VERDE,0.0
4,58681.0,47858.0,0.8155621069852252,-10823.0,-18.443789301477477,MOOCA,0.0
256,57564.0,45896.0,0.7973038704746022,-11668.0,-20.269612952539784,TUCURUVI,0.0
347,57138.0,44616.0,0.780846371941615,-12522.0,-21.9153628058385,VILA MATILDE,0.0
372,56792.0,41761.0,0.7353324411888998,-15031.0,-26.466755881110014,PIRAPORINHA SAO,1.818181818181818
352,56459.0,42355.0,0.7501904036557502,-14104.0,-24.98095963442498,ITAIM PAULISTA,0.0
250,55071.0,45230.0,0.8213034083274319,-9841.0,-17.869659167256813,LAPA,3.7037037037037033
254,53637.0,42191.0,0.786602531834368,-11446.0,-21.3397468165632,VILA MARIA,4.761904761904762
260,53333.0,42523.0,0.7973112331952075,-10810.0,-20.268876680479252,IPIRANGA SAO,2.631578947368421
381,51485.0,37550.0,0.7293386423230067,-13935.0,-27.06613576769933,PARELHEIROS,0.0
2,51459.0,44524.0,0.8652325152062808,-6935.0,-13.476748479371924,PERDIZES,16.666666666666664
389,50796.0,38284.0,0.7536813922356091,-12512.0,-24.631860776439083,PERUS,0.0
320,49307.0,38152.0,0.7737643742267832,-11155.0,-22.623562577321678,JABAQUARA,2.564102564102564
418,48437.0,36282.0,0.7490554741210231,-12155.0,-25.094452587897685,PEDREIRA SAO,0.0
6,48314.0,41557.0,0.8601440576230492,-6757.0,-13.985594237695075,VILA MARIANA,11.11111111111111
280,48095.0,36593.0,0.7608483210312922,-11502.0,-23.91516789687078,CAPELA DO SOCORRO,2.4390243902439024
259,47078.0,39883.0,0.847168528824504,-7195.0,-15.2831471175496,SAUDE,2.941176470588235
422,46939.0,37065.0,0.7896418756258122,-9874.0,-21.035812437418777,LAUZANE PAULISTA,0.0
353,45653.0,33500.0,0.7337962455917464,-12153.0,-26.620375440825363,GUAIANASES,0.0
413,44665.0,34955.0,0.7826038285010635,-9710.0,-21.739617149893654,CURSINO,0.0
248,44510.0,33677.0,0.7566164906762525,-10833.0,-24.338350932374752,ITAQUERA,3.125
328,44340.0,33984.0,0.7664411366711773,-10356.0,-23.35588633288227,CAMPO LIMPO,0.0
346,44114.0,37073.0,0.8403908056399328,-7041.0,-15.960919436006716,BUTANTA,13.513513513513514
397,43329.0,32057.0,0.7398509081677398,-11272.0,-26.01490918322602,JARDIM HELENA,0.0
350,43274.0,33233.0,0.7679669085363036,-10041.0,-23.203309146369644,SAPOPEMBA,0.0
404,42085.0,30660.0,0.728525602946418,-11425.0,-27.147439705358202,CIDADE TIRADENTES,0.0
371,41468.0,30310.0,0.7309250506414585,-11158.0,-26.90749493585415,GRAJAU,0.0
420,40873.0,31756.0,0.7769432143468794,-9117.0,-22.30567856531206,VILA SABRINA,0.0
349,40854.0,32225.0,0.7887844519508493,-8629.0,-21.121554804915064,JACANA,0.0
408,40477.0,31558.0,0.7796526422412728,-8919.0,-22.034735775872715,JARDIM SAO LUIS,0.0
249,40331.0,34032.0,0.8438174109245989,-6299.0,-15.618258907540106,SANTANA,6.896551724137931
246,40172.0,33650.0,0.8376481131136114,-6522.0,-16.235188688638857,SANTO AMARO,9.090909090909092
421,39623.0,29770.0,0.7513312974787371,-9853.0,-24.866870252126294,TEOTONIO VILELA,0.0
392,38825.0,30083.0,0.774835801674179,-8742.0,-22.516419832582102,PONTE RASA,2.941176470588235
5,38733.0,34519.0,0.8912038829938296,-4214.0,-10.879611700617042,JARDIM PAULISTA,10.526315789473683
390,37812.0,29546.0,0.7813921506400084,-8266.0,-21.860784935999156,CANGAIBA,3.4482758620689653
348,37638.0,29463.0,0.7827992985812211,-8175.0,-21.72007014187789,VILA FORMOSA,0.0
252,37223.0,29682.0,0.7974102033688848,-7541.0,-20.25897966311152,PENHA DE FRANCA,3.4482758620689653
327,36616.0,28448.0,0.7769281188551453,-8168.0,-22.307188114485466,NOSSA SENHORA DO O,0.0
417,36431.0,27716.0,0.7607806538387637,-8715.0,-23.92193461612363,PARQUE DO CARMO,0.0
351,34454.0,26300.0,0.763336622743368,-8154.0,-23.6663377256632,CIDADE ADEMAR,0.0
20,34351.0,25641.0,0.746441151640418,-8710.0,-25.355884835958197,VALO VELHO,0.0
325,32262.0,25315.0,0.7846692703490175,-6947.0,-21.533072965098256,PIRITUBA,0.0
326,32183.0,24760.0,0.7693502780971321,-7423.0,-23.06497219028679,ERMELINO MATARAZZO,0.0
1,31814.0,26754.0,0.8409505249261332,-5060.0,-15.90494750738668,BELA VISTA,48.0
247,31562.0,24411.0,0.7734300741397884,-7151.0,-22.65699258602116,SAO MIGUEL PAULISTA,3.8461538461538463
403,30831.0,23544.0,0.7636469786902793,-7287.0,-23.635302130972068,JARAGUA,0.0
373,30144.0,22560.0,0.7484076433121019,-7584.0,-25.159235668789815,CAPAO REDONDO,0.0
398,29361.0,22239.0,0.7574333299274548,-7122.0,-24.256667007254517,VILA JACUI,0.0
251,28763.0,25370.0,0.8820359489622084,-3393.0,-11.796405103779161,PINHEIROS,37.03703703703704
405,27404.0,20560.0,0.750255437162458,-6844.0,-24.974456283754197,CONJUNTO JOSE BONIFACIO,0.0
3,21556.0,17708.0,0.8214882167377993,-3848.0,-17.851178326220072,SANTA IFIGENIA,17.647058823529413
