NR_ZONA,n_locais,n_placebo,nome_ze,indice_placebo
1,25,0,BELA VISTA,0.0
2,30,0,PERDIZES,0.0
3,17,1,SANTA IFIGENIA,5.88235294117647
4,28,1,MOOCA,3.571428571428571
5,19,0,JARDIM PAULISTA,0.0
6,27,0,VILA MARIANA,0.0
20,37,0,VALO VELHO,0.0
246,22,0,SANTO AMARO,0.0
247,26,0,SAO MIGUEL PAULISTA,0.0
248,32,1,ITAQUERA,3.125
249,29,0,SANTANA,0.0
250,54,4,LAPA,7.4074074074074066
251,27,0,PINHEIROS,0.0
252,29,0,PENHA DE FRANCA,0.0
253,49,0,TATUAPE,0.0
254,42,3,VILA MARIA,7.142857142857142
255,39,0,CASA VERDE,0.0
256,41,0,TUCURUVI,0.0
257,43,1,VILA PRUDENTE,2.3255813953488373
258,31,0,INDIANOPOLIS,0.0
259,34,0,SAUDE,0.0
260,38,0,IPIRANGA SAO,0.0
280,41,0,CAPELA DO SOCORRO,0.0
320,39,0,JABAQUARA,0.0
325,24,0,PIRITUBA,0.0
326,32,0,ERMELINO MATARAZZO,0.0
327,35,0,NOSSA SENHORA DO O,0.0
328,30,0,CAMPO LIMPO,0.0
346,37,0,BUTANTA,0.0
347,44,0,VILA MATILDE,0.0
348,26,0,VILA FORMOSA,0.0
349,31,0,JACANA,0.0
350,30,0,SAPOPEMBA,0.0
351,26,0,CIDADE ADEMAR,0.0
352,44,0,ITAIM PAULISTA,0.0
353,44,0,GUAIANASES,0.0
371,41,0,GRAJAU,0.0
372,55,1,PIRAPORINHA SAO,1.8181818181818181
373,28,0,CAPAO REDONDO,0.0
374,49,1,RIO PEQUENO,2.0408163265306123
375,58,0,SAO MATEUS,0.0
376,56,0,BRASILANDIA,0.0
381,62,0,PARELHEIROS,0.0
389,53,0,PERUS,0.0
390,29,0,CANGAIBA,0.0
392,34,0,PONTE RASA,0.0
397,31,0,JARDIM HELENA,0.0
398,27,0,VILA JACUI,0.0
403,27,0,JARAGUA,0.0
404,44,0,CIDADE TIRADENTES,0.0
405,23,0,CONJUNTO JOSE BONIFACIO,0.0
408,36,0,JARDIM SAO LUIS,0.0
413,30,0,CURSINO,0.0
417,26,0,PARQUE DO CARMO,0.0
418,42,0,PEDREIRA SAO,0.0
420,29,0,VILA SABRINA,0.0
421,28,0,TEOTONIO VILELA,0.0
422,35,0,LAUZANE PAULISTA,0.0
