NR_ZONA,PC1,indice_cultural,nome_ze
1,3.8779472335251546,48.0,BELA VISTA
2,4.852592670209194,16.666666666666664,PERDIZES
3,0.6440260298300358,17.647058823529413,SANTA IFIGENIA
4,2.7488483053398647,0.0,MOOCA
5,3.3435162647398777,10.526315789473683,JARDIM PAULISTA
6,3.1015384494676446,11.11111111111111,VILA MARIANA
20,-2.15518612931856,0.0,VALO VELHO
246,2.3937354062638025,9.090909090909092,SANTO AMARO
247,0.1483366960748554,3.8461538461538463,SAO MIGUEL PAULISTA
248,-0.44757704755242544,3.125,ITAQUERA
249,1.8350517781357634,6.896551724137931,SANTANA
250,-1.1098712876648869,3.7037037037037033,LAPA
251,3.997904447142092,37.03703703703704,PINHEIROS
252,2.341650061844466,3.4482758620689653,PENHA DE FRANCA
253,0.7617350268902751,0.0,TATUAPE
254,-1.7400938944437605,4.761904761904762,VILA MARIA
255,0.42785980374417737,0.0,CASA VERDE
256,0.047235790249925365,0.0,TUCURUVI
257,-1.2525896697143735,0.0,VILA PRUDENTE
258,7.792262741897826,0.0,INDIANOPOLIS
259,5.883135832865974,2.941176470588235,SAUDE
260,0.15588741555327496,2.631578947368421,IPIRANGA SAO
280,-2.6937544719562054,2.4390243902439024,CAPELA DO SOCORRO
320,-2.3479218571970013,2.564102564102564,JABAQUARA
325,0.850691819783658,0.0,PIRITUBA
326,-0.41844074276522114,0.0,ERMELINO MATARAZZO
327,-0.40098892843852196,0.0,NOSSA SENHORA DO O
328,-0.773395667030613,0.0,CAMPO LIMPO
346,1.1492111450073759,13.513513513513514,BUTANTA
347,-0.3430836073989413,0.0,VILA MATILDE
348,0.011684808900754837,0.0,VILA FORMOSA
349,-0.48252847060671106,0.0,JACANA
350,-0.6855553864460985,0.0,SAPOPEMBA
351,1.043369034723083,0.0,CIDADE ADEMAR
352,-0.7845704773177381,0.0,ITAIM PAULISTA
353,-1.6419483305047822,0.0,GUAIANASES
371,-1.1337991386356046,0.0,GRAJAU
372,-1.8942097338017532,1.818181818181818,PIRAPORINHA SAO
373,-0.7928878032462663,0.0,CAPAO REDONDO
374,-0.47370290211025917,8.16326530612245,RIO PEQUENO
375,-2.4926235420512515,0.0,SAO MATEUS
376,-3.2639086305710303,0.0,BRASILANDIA
381,-4.579704676418933,0.0,PARELHEIROS
389,-2.3883484918199365,0.0,PERUS
390,-1.1008942498434229,3.4482758620689653,CANGAIBA
392,-1.4210869948325215,2.941176470588235,PONTE RASA
397,-0.32355103639965727,0.0,JARDIM HELENA
398,-0.536058535486002,0.0,VILA JACUI
403,-0.32965835085452044,0.0,JARAGUA
404,-1.4874342525917568,0.0,CIDADE TIRADENTES
405,-0.3144890123267277,0.0,CONJUNTO JOSE BONIFACIO
408,-3.0516435166321902,0.0,JARDIM SAO LUIS
413,-0.834467798926895,0.0,CURSINO
417,-0.6068196489050357,0.0,PARQUE DO CARMO
418,-2.8842710639658824,0.0,PEDREIRA SAO
420,-0.517617336985906,0.0,VILA SABRINA
421,-0.6196991679755894,0.0,TEOTONIO VILELA
422,0.9161610905479308,0.0,LAUZANE PAULISTA
