SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_COR_RACA,DS_ESTADO_CIVIL,DT_NASCIMENTO,categoria_ocup,baixa_densidade,média_densidade,alta_densidade,total,pct_alta_dens,perfil_zona
250002064664,LIGIA MENDES,LIGIA MENDES DA SILVA,UP,FEMININO,SUPERIOR COMPLETO,FONOAUDIÓLOGO,BRANCA,CASADO(A),06/07/1979,outros,3463,350,282,4095,6.886446886446887,baixa (<15%)
250002052137,ADERITO DUTRA,ADERITO CASSIO DE ASSIS DUTRA,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,PARDA,DIVORCIADO(A),31/07/1958,empresario,733,98,52,883,5.889014722536806,baixa (<15%)
250002052090,NEON CUNHA,NEON DOS AFONSO CUNHA,PSOL,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,PRETA,SOLTEIRO(A),24/01/1970,servidor_publico,4736,1435,2053,8224,24.96352140077821,mista (15-40%)
250002052112,PROF IDALICIO DO COLETIVO LUTE,IDALICIO REIMBERG LIMA,PSOL,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,BRANCA,SOLTEIRO(A),15/11/1986,politico,599,47,29,675,4.296296296296296,baixa (<15%)
250002052084,CHIRLEY PANKARÁ,CHIRLEY MARIA DE SOUZA ALMEIDA SANTOS,PSOL,FEMININO,SUPERIOR COMPLETO,OUTROS,INDÍGENA,CASADO(A),08/05/1974,outros,5700,1960,1939,9599,20.2000208355037,mista (15-40%)
250002181695,EDUARDO LEITE,EDUARDO CESAR LEITE,PSDB,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,BRANCA,SOLTEIRO(A),31/07/1961,profissional_liberal,1627,257,108,1992,5.421686746987952,baixa (<15%)
250002181687,CORONEL JOSÉ ROBERTO,JOSE ROBERTO RODRIGUES DE OLIVEIRA,PSDB,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,BRANCA,CASADO(A),29/04/1963,profissional_liberal,927,188,140,1255,11.155378486055776,baixa (<15%)
250002075170,HIRYAN LIRA,HIRYAN MEZZALIRA TEIXEIRA,PRD,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,BRANCA,CASADO(A),29/03/1964,empresario,617,63,7,687,1.0189228529839884,baixa (<15%)
250002075165,PR RICARDO ROCHA,RICARDO ROCHA DE OLIVEIRA,PRD,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,PARDA,CASADO(A),29/05/1978,empresario,1128,8,15,1151,1.3032145960034751,baixa (<15%)
250002075128,PROFESSOR ALVES,GERALDO ALVES DE SOUZA,PRD,MASCULINO,SUPERIOR COMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,PARDA,CASADO(A),06/06/1968,academia_cultura,1090,64,4,1158,0.3454231433506045,baixa (<15%)
250001973476,PROFESSOR ARMANDO BEGA,ARMANDO BEGA,PL,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,PARDA,DIVORCIADO(A),05/04/1961,academia_cultura,2428,245,132,2805,4.705882352941177,baixa (<15%)
250001973505,CARLA BILYNSKYJ,CARLA SERRANO BILYNSKYJ,PL,FEMININO,SUPERIOR COMPLETO,MÉDICO,BRANCA,CASADO(A),30/03/1985,profissional_liberal,5299,1140,514,6953,7.39249244930246,baixa (<15%)
250001973494,SALOMÃO DO TAXI,SALOMÃO PEREIRA DA SILVA,PL,MASCULINO,ENSINO MÉDIO COMPLETO,TAXISTA,PARDA,CASADO(A),12/04/1950,outros,2270,403,173,2846,6.078706957132818,baixa (<15%)
250001973488,MARI GOUVEIA,MARILENA GONÇALVES GOUVEA PANINKA,PL,FEMININO,SUPERIOR COMPLETO,PSICÓLOGO,PARDA,CASADO(A),13/05/1972,academia_cultura,496,103,64,663,9.653092006033184,baixa (<15%)
250002018919,JOÃO GARCIA,JOÃO FRANCISCO GARCIA,MOBILIZA,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,BRANCA,DIVORCIADO(A),04/10/1960,outros,691,117,26,834,3.117505995203837,baixa (<15%)
250002170996,RENATA RIBEIRO,RENATA CARVALHO RIBEIRO GIMENEZ,PRTB,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,BRANCA,DIVORCIADO(A),19/05/1978,outros,1237,89,21,1347,1.55902004454343,baixa (<15%)
250002171005,CICERO SILVA,CÍCERO APARECIDO DA SILVA,PRTB,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,BRANCA,CASADO(A),24/12/1983,outros,837,24,6,867,0.6920415224913495,baixa (<15%)
