sq_candidato,nome,partido,situacao,votos,receita_total,receita_2024,custo_por_voto,bloco,cargo,ano,escopo,arquetipo,eficiencia,custo_voto
250000002231,DALTON SILVANO,PV,ELEITO 1T,39304,778807.6,1612131.7319999998,41.016988906981474,CENTRO,Vereador,2012,SP_CAPITAL,Outros,24.380141659540268,41.016988906981474
250000002245,GILBERTO NATALINI,PV,ELEITO 1T,26806,468426.6,969643.062,36.17261292248004,CENTRO,Vereador,2012,SP_CAPITAL,Outros,27.64522436195186,36.17261292248004
250000002260,TRIPOLI,PV,ELEITO 1T,132313,1054627.35,2183078.6145,16.4993508914468,CENTRO,Vereador,2012,SP_CAPITAL,Outros,60.60844493696999,16.4993508914468
250000002290,RICARDO TEIXEIRA,PV,ELEITO 1T,30698,487683.6,1009505.052,32.88504306469476,CENTRO,Vereador,2012,SP_CAPITAL,Outros,30.408961242127592,32.88504306469477
250000002366,LAÉRCIO BENKO,PHS,ELEITO 1T,17918,562541.05,1164459.9735,64.98827846299811,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,15.387390213288423,64.98827846299811
250000007992,GEORGE HATO,PMDB,ELEITO 1T,24611,330482.28,684098.3196,27.796445475600343,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,35.975822911522904,27.796445475600343
250000008029,NELO RODOLFO,PMDB,ELEITO 1T,18219,362286.86,749933.8001999999,41.162182348098135,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,24.294144356663445,41.162182348098135
250000008046,RICARDO NUNES,PMDB,ELEITO 1T,30747,904681.86,1872691.4502,60.906477061176695,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,16.418615034909394,60.9064770611767
250000008053,DR. CALVO,PMDB,ELEITO 1T,24282,304569.56,630458.9892,25.96404699777613,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Profissional,38.514797022423046,25.96404699777613
250000010928,ARI FRIEDENBACH,PPS,ELEITO 1T,22597,67600.0,139932.0,6.192503429658804,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,161.485578709659,6.192503429658804
250000011002,RICARDO YOUNG,PPS,ELEITO 1T,42098,299536.33,620040.2031,14.72849548909687,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,67.89559739759396,14.72849548909687
250000012971,NETINHO DE PAULA,PC do B,ELEITO 1T,50698,1280454.0,2650539.78,52.28095348928952,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,19.127424678757325,52.280953489289516
250000018949,TONINHO VESPOLI,PSOL,ELEITO 1T,8722,6568.67,13597.1469,1.5589482802109609,ESQUERDA,Vereador,2012,SP_CAPITAL,Outros,641.4580988310129,1.5589482802109607
250000039049,ADILSON AMADEU,PTB,ELEITO 1T,40100,806791.24,1670057.8668,41.64732834912718,DIREITA,Vereador,2012,SP_CAPITAL,Outros,24.011144043071788,41.64732834912718
250000039058,ATILIO FRANCISCO,PRB,ELEITO 1T,32513,163153.01,337726.7307,10.387436739150496,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,96.27014104749985,10.387436739150495
250000039064,CELSO JATENE,PTB,ELEITO 1T,52099,686493.67,1421041.8969,27.27579985988215,DIREITA,Vereador,2012,SP_CAPITAL,Outros,36.66253620927987,27.27579985988215
250000039088,JEAN MADEIRA,PRB,ELEITO 1T,35036,156058.35,323040.7845,9.220253011188491,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,108.45689362174019,9.220253011188491
250000039132,PAULO FRANGE,PTB,ELEITO 1T,30891,583126.24,1207071.3168,39.0751777799359,DIREITA,Vereador,2012,SP_CAPITAL,Outros,25.591694185802893,39.0751777799359
250000039139,CONTE LOPES,PTB,ELEITO 1T,31947,191651.21,396718.00469999993,12.41800496760259,DIREITA,Vereador,2012,SP_CAPITAL,Outros,80.52823320725884,12.41800496760259
250000049333,ANDREA MATARAZZO,PSDB,ELEITO 1T,117617,2466784.47,5106243.8529,43.414165068825085,DIREITA,Vereador,2012,SP_CAPITAL,Outros,23.03395673773032,43.414165068825085
250000049337,ANTONIO CARLOS RODRIGUES,PR,ELEITO 1T,67161,1454741.0,3011313.87,44.83723991602269,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,22.302889336474248,44.837239916022696
250000049338,TONINHO PAIVA,PR,ELEITO 1T,48613,395198.0,818059.86,16.82800608890626,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,59.4247467416382,16.82800608890626
250000049340,FLORIANO PESARO,PSDB,ELEITO 1T,37780,1195614.18,2474921.3526,65.50877058231869,DIREITA,Vereador,2012,SP_CAPITAL,Outros,15.265131540568213,65.50877058231869
250000049341,GOULART,PSD,ELEITO 1T,104301,716842.69,1483864.3682999995,14.226751117438948,DIREITA,Vereador,2012,SP_CAPITAL,Outros,70.29011695960678,14.226751117438946
250000049343,AURELIO MIGUEL,PR,ELEITO 1T,32520,550470.0,1139472.9,35.03914206642066,DESCONHECIDO,Vereador,2012,SP_CAPITAL,Outros,28.539511558370542,35.03914206642066
