SQ_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NR_PARTIDO,DS_SIT_TOT_TURNO,votos,receita_total,custo_por_voto,votos_por_milreal,bloco
250001973467,LUCAS PAVANATO,PL,22,ELEITO POR QP,161386,1077658.34,6.677520602778432,149.75618339296662,DIREITA
250001933068,ANA CAROLINA OLIVEIRA,PODE,20,ELEITO POR QP,129563,1540589.0,11.89065551121848,84.09965279513226,DIREITA
250002174669,DR. MURILLO LIMA,PP,11,ELEITO POR QP,113820,2780000.0,24.42452995958531,40.94244604316547,DIREITA
250002174684,SARGENTO NANTES,PP,11,ELEITO POR QP,112484,324811.61,2.887624995554923,346.3053552796343,DIREITA
250002052119,AMANDA PASCHOAL,PSOL,50,ELEITO POR QP,108654,604880.9,5.567037568796363,179.62875005641607,ESQUERDA
250001881809,RUBINHO NUNES,UNIÃO,44,ELEITO POR QP,101549,2190134.39,21.567266935174153,46.36656109491071,DIREITA
250001913956,LUNA ZARATTINI,PT,13,ELEITO POR QP,100921,1951350.87,19.335429395269568,51.718530763255295,ESQUERDA
250002052116,LUANA ALVES,PSOL,50,ELEITO POR QP,83262,601539.49,7.224658187408422,138.41485286360833,ESQUERDA
250001973486,DRA SANDRA TADEU,PL,22,ELEITO POR QP,74511,1593501.32,21.386121780676678,46.7592960638401,DIREITA
250001881830,PASTORA SANDRA ALVES,UNIÃO,44,ELEITO POR QP,74192,4068007.88,54.83081572137157,18.237919440805015,DIREITA
250001881805,SILVÃO LEITE,UNIÃO,44,ELEITO POR QP,63988,3640826.79,56.89858707882728,17.575128862419735,DIREITA
250001973481,ISAC FÉLIX,PL,22,ELEITO POR QP,62275,1052000.0,16.892814130871137,59.196768060836504,DIREITA
250001973518,ZOE MARTINEZ,PL,22,ELEITO POR QP,60272,959000.0,15.91120254844704,62.848800834202294,DIREITA
250002161318,RODRIGO GOULART,PSD,55,ELEITO POR QP,58715,4288678.09,73.04229055607595,13.690698804581999,DIREITA
250001933054,DANILO DO POSTO DE SAÚDE,PODE,20,ELEITO POR QP,58676,639999.99,10.907355477537664,91.68125143251955,DIREITA
250001933051,GABRIEL ABREU,PODE,20,ELEITO POR QP,58581,2124460.32,36.26534746760895,27.574532434665578,DIREITA
250002161322,EDIR SALES,PSD,55,ELEITO POR QP,58190,2688055.05,46.194450077332874,21.64762213482198,DIREITA
250001913934,ALESSANDRO GUEDES,PT,13,ELEITO POR QP,58183,1583192.27,27.210564426035095,36.75043208744317,ESQUERDA
250002052111,CELSO GIANNAZI,PSOL,50,ELEITO POR QP,57789,492970.13999999996,8.530518610808285,117.226167085901,ESQUERDA
250002079329,CRIS MONTEIRO,NOVO,30,ELEITO POR QP,56904,1357878.0,23.862610712779418,41.90656303438159,DIREITA
250001881810,SILVINHO,UNIÃO,44,ELEITO POR QP,53453,3701246.14,69.24300114118945,14.441892805324208,DIREITA
250002161326,THAMMY MIRANDA,PSD,55,ELEITO POR MÉDIA,50234,966154.06,19.233070430385794,51.993778300740146,DIREITA
250001913953,NABIL BONDUKI,PT,13,ELEITO POR QP,49540,1250124.19,25.234642511102138,39.62806287269747,ESQUERDA
250002174677,JANAINA PASCHOAL,PP,11,ELEITO POR QP,48893,361700.0,7.39778700427464,135.17555985623446,DIREITA
250001962464,FABIO RIVA,MDB,15,ELEITO POR QP,44627,1140000.0,25.545073610146325,39.146491228070175,DIREITA
250002174662,MAJOR PALUMBO,PP,11,ELEITO POR MÉDIA,43455,643608.3,14.810914739385572,67.51777439787521,DIREITA
250001973490,RUTE COSTA,PL,22,ELEITO POR QP,43090,1550036.12,35.97206126711534,27.799352185418748,DIREITA
250001962497,SIDNEY CRUZ,MDB,15,ELEITO POR QP,42988,1697900.0,39.49706894947427,25.318334413098533,DIREITA
250001962472,GEORGE HATO,MDB,15,ELEITO POR QP,42837,1240465.27,28.957799799238977,34.53301034377206,DIREITA
250001977569,SANSÃO PEREIRA,REPUBLICANOS,10,ELEITO POR QP,42229,730502.5,17.29859811977551,57.8081526072806,DIREITA
250001977564,ANDRÉ SANTOS,REPUBLICANOS,10,ELEITO POR MÉDIA,41379,833076.0,20.13282099615747,49.670138138657215,DIREITA
250001913948,HÉLIO RODRIGUES,PT,13,ELEITO POR QP,40753,1467867.87,36.018645743871616,27.76339807751225,ESQUERDA
250001881822,AMANDA VETTORAZZO,UNIÃO,44,ELEITO POR QP,40144,1053489.28,26.2427580709446,38.10575082453615,DIREITA
250001962471,MARCELO MESSIAS,MDB,15,ELEITO POR QP,40079,682000.0,17.016392624566482,58.766862170087975,DIREITA
250002052100,MARINA BRAGANTE,REDE,18,ELEITO POR QP,39147,1331856.4000000001,34.02192760620227,29.39280841388005,CENTRO
250001913972,TRIPOLI,PV,43,ELEITO POR QP,39039,1273424.2000000002,32.61928328082175,30.656712822011702,CENTRO
250001933095,SIMONE GANEM,PODE,20,ELEITO POR QP,38540,1012760.0,26.27815256875973,38.05442553023421,DIREITA
250001962510,SANDRA SANTANA,MDB,15,ELEITO POR QP,38326,1325798.55,34.59266685800762,28.907860851107433,DIREITA
250001962465,JOÃO JORGE,MDB,15,ELEITO POR QP,36296,1421263.1099999999,39.15756860260083,25.53784710559328,DIREITA
250001962463,ELY TERUEL,MDB,15,ELEITO POR MÉDIA,35622,1736000.0,48.7339284711695,20.51958525345622,DIREITA
250002052106,PROFESSOR TONINHO VESPOLI,PSOL,50,ELEITO POR QP,34735,528464.74,15.214185691665467,65.72813164412824,ESQUERDA
250002052107,SILVIA DA BANCADA FEMINISTA,PSOL,50,ELEITO POR QP,34537,686787.54,19.885558676202336,50.28774983308521,ESQUERDA
250001973520,SONAIRA FERNANDES,PL,22,ELEITO POR QP,33957,1771285.0,52.16258797891451,19.170827958233712,DIREITA
250001933064,DR. MILTON FERREIRA,PODE,20,ELEITO POR QP,33493,1112465.63,33.21486967426029,30.106997552814285,DIREITA
250001913931,JOÃO ANANIAS,PT,13,ELEITO POR QP,33225,1679930.87,50.56225342362679,19.77759953896198,ESQUERDA
250001933078,KENJI PALUMBO,PODE,20,ELEITO POR MÉDIA,32495,643554.0,19.80470841667949,50.49304331882018,DIREITA
250001881793,RICARDO TEIXEIRA,UNIÃO,44,ELEITO POR QP,31566,861102.45,27.279428815814484,36.657659027680154,DIREITA
250001913946,JAIR TATTO,PT,13,ELEITO POR QP,30905,1105236.74,35.76239249312409,27.962335019735228,ESQUERDA
250002034102,ELISEU GABRIEL,PSB,40,ELEITO POR QP,30706,1065707.78,34.70682537614798,28.81277642544751,ESQUERDA
250001913963,DHEISON,PT,13,ELEITO POR QP,30575,1105382.87,36.15316009811938,27.660099346392077,ESQUERDA
250001913942,SENIVAL MOURA,PT,13,ELEITO POR MÉDIA,30480,1279965.87,41.993630905511814,23.813134954918755,ESQUERDA
250002034110,RENATA FALZONI,PSB,40,ELEITO POR QP,30206,432572.32,14.320741574521618,69.82878608598905,ESQUERDA
250002052115,KEIT LIMA,PSOL,50,ELEITO POR MÉDIA,27769,772937.5599999999,27.83454787712917,35.926576009580906,ESQUERDA
