sq_candidato,nome,partido,votos,ano,receita_total,receita_2024,custo_por_voto,bloco
250000002231,DALTON SILVANO,PV,39304,2012,778807.6,1612131.7319999998,41.016988906981474,CENTRO
250000002245,GILBERTO NATALINI,PV,26806,2012,468426.6,969643.0619999999,36.17261292248004,CENTRO
250000002260,TRIPOLI,PV,132313,2012,1054627.35,2183078.6145,16.4993508914468,CENTRO
250000002290,RICARDO TEIXEIRA,PV,30698,2012,487683.6,1009505.0519999999,32.88504306469476,CENTRO
250000002366,LAÉRCIO BENKO,PHS,17918,2012,562541.05,1164459.9735,64.98827846299811,DESCONHECIDO
250000007992,GEORGE HATO,PMDB,24611,2012,330482.28,684098.3196,27.796445475600343,DESCONHECIDO
250000008029,NELO RODOLFO,PMDB,18219,2012,362286.86,749933.8001999999,41.162182348098135,DESCONHECIDO
250000008046,RICARDO NUNES,PMDB,30747,2012,904681.86,1872691.4501999998,60.906477061176695,DESCONHECIDO
250000008053,DR. CALVO,PMDB,24282,2012,304569.56,630458.9892,25.96404699777613,DESCONHECIDO
250000010928,ARI FRIEDENBACH,PPS,22597,2012,67600.0,139932.0,6.192503429658804,DESCONHECIDO
250000011002,RICARDO YOUNG,PPS,42098,2012,299536.33,620040.2031,14.72849548909687,DESCONHECIDO
250000012971,NETINHO DE PAULA,PC do B,50698,2012,1280454.0,2650539.78,52.280953489289516,ESQUERDA
250000018949,TONINHO VESPOLI,PSOL,8722,2012,6568.67,13597.1469,1.5589482802109607,ESQUERDA
250000039049,ADILSON AMADEU,PTB,40100,2012,806791.24,1670057.8668,41.64732834912718,DIREITA
250000039058,ATILIO FRANCISCO,PRB,32513,2012,163153.01,337726.7307,10.387436739150495,DESCONHECIDO
250000039064,CELSO JATENE,PTB,52099,2012,686493.67,1421041.8969,27.27579985988215,DIREITA
250000039088,JEAN MADEIRA,PRB,35036,2012,156058.35,323040.7845,9.220253011188491,DESCONHECIDO
250000039132,PAULO FRANGE,PTB,30891,2012,583126.24,1207071.3168,39.0751777799359,DIREITA
250000039139,CONTE LOPES,PTB,31947,2012,191651.21,396718.00469999993,12.41800496760259,DIREITA
250000049333,ANDREA MATARAZZO,PSDB,117617,2012,2466784.47,5106243.8529,43.414165068825085,DIREITA
250000049337,ANTONIO CARLOS RODRIGUES,PR,67161,2012,1454741.0,3011313.8699999996,44.83723991602269,DESCONHECIDO
250000049338,TONINHO PAIVA,PR,48613,2012,395198.0,818059.86,16.82800608890626,DESCONHECIDO
250000049340,FLORIANO PESARO,PSDB,37780,2012,1195614.18,2474921.3526,65.50877058231869,DIREITA
250000049341,GOULART,PSD,104301,2012,716842.69,1483864.3682999997,14.226751117438948,DIREITA
250000049343,AURELIO MIGUEL,PR,32520,2012,550470.0,1139472.9,35.03914206642066,DESCONHECIDO
250000049344,AURÉLIO NOMURA,PSDB,29236,2012,463016.08,958443.2856,32.78298281570666,DIREITA
250000049345,CLAUDINHO,PSDB,37441,2012,321520.08,665546.5656,17.77587579391576,DIREITA
250000049349,DAVID SOARES,PSD,32081,2012,436953.82999999996,904494.4280999998,28.194084601477503,DIREITA
250000049355,EDIR SALES,PSD,34476,2012,1249892.68,2587277.8475999995,75.04576655064392,DIREITA
250000049356,EDUARDO TUMA,PSDB,28756,2012,260325.08,538872.9156,18.739494908888577,DIREITA
250000049368,GILSON BARRETO,PSDB,31995,2012,414350.88,857706.3215999999,26.80751122362869,DIREITA
250000049381,POLICE NETO - VEREADOR NETINHO,PSD,28278,2012,2447889.68,5067131.6376,179.18988746021643,DIREITA
250000049388,SOUZA SANTOS,PSD,39658,2012,430370.0,890865.8999999999,22.463712239648995,DIREITA
250000049397,MARCO AURELIO CUNHA,PSD,40130,2012,603758.5700000001,1249780.2399,31.14329030401196,DIREITA
250000049405,MARIO COVAS NETO,PSDB,60697,2012,698730.07,1446371.2448999998,23.8293695718075,DIREITA
250000049407,MARTA COSTA,PSD,32914,2012,498532.18,1031961.6125999999,31.353272546636685,DIREITA
250000049409,MILTON LEITE,DEM,101664,2012,3330419.63,6893968.634099999,67.81130620573654,DIREITA
250000049418,PATRICIA BEZERRA,PSDB,34511,2012,408721.88,846054.2916,24.515496264958998,DIREITA
250000049420,CORONEL TELHADA,PSDB,89053,2012,189293.08000000002,391836.6756,4.400039028443736,DIREITA
250000049429,SANDRA TADEU,DEM,45770,2012,1970744.71,4079441.5496999994,89.12915773869345,DIREITA
250000081974,ALFREDINHO,PT,36634,2012,1632274.95,3378809.1465,92.23151025004094,ESQUERDA
250000081977,DONATO,PT,47039,2012,1864037.54,3858557.7078,82.02890596738877,ESQUERDA
250000081980,ARSELINO TATTO,PT,32135,2012,909887.54,1883467.2078,58.61108473004512,ESQUERDA
250000081987,PASTOR EDEMILSON CHAVES,PP,45858,2012,48170.86,99713.68019999999,2.174400981290069,DIREITA
250000081993,ELISEU GABRIEL,PSB,53634,2012,733854.89,1519079.6223,28.3230716019689,ESQUERDA
250000082007,JAIR TATTO,PT,31685,2012,1033676.37,2139710.0859,67.53069546788701,ESQUERDA
250000082015,JOSÉ AMÉRICO,PT,34291,2012,1356549.71,2808057.8996999995,81.88906417718934,ESQUERDA
250000082024,JULIANA CARDOSO,PT,46757,2012,717917.54,1486089.3078,31.78324759501251,ESQUERDA
250000082045,OTA,PSB,62693,2012,280218.19,580051.6533,9.252255487853509,ESQUERDA
250000082047,NABIL BONDUKI,PT,42411,2012,1586718.04,3284506.3427999998,77.44468045554218,ESQUERDA
250000082050,NOEMI NONATO,PSB,35601,2012,548561.0,1135521.27,31.895768939074745,ESQUERDA
250000082052,REIS,PT,28627,2012,1677200.54,3471805.1177999997,121.27729478464386,ESQUERDA
250000082055,PAULO FIORILO,PT,27805,2012,1561119.28,3231516.9096,116.22071244740154,ESQUERDA
250000082067,SENIVAL MOURA,PT,46524,2012,547033.8,1132359.966,24.339265024503483,ESQUERDA
250000082073,VAVA DOS TRANSPORTES,PT,29242,2012,194655.54,402936.9678,13.77939155324533,ESQUERDA
250000004979,ADRIANA RAMALHO,PSDB,29756,2016,404606.05,615001.196,20.668140744723754,DIREITA
250000004981,ALINE CARDOSO,PSDB,25769,2016,658095.72,1000305.4944,38.818172781248784,DIREITA
250000004982,AURÉLIO NOMURA,PSDB,41954,2016,346302.22,526379.3744,12.546583744100682,DIREITA
250000004984,FABIO RIVA,PSDB,28041,2016,103038.42,156618.3984,5.585335701294533,DIREITA
250000004986,PATRICIA BEZERRA,PSDB,45285,2016,373689.54,568008.1008,12.542963471348129,DIREITA
250000004987,CLAUDINHO DE SOUZA,PSDB,24923,2016,325740.0,495124.8,19.866179833888374,DIREITA
250000004989,MARIO COVAS NETO,PSDB,75593,2016,440140.75,669013.9400000001,8.85021020464858,DIREITA
250000004992,EDUARDO TUMA,PSDB,70273,2016,1078024.55,1638597.316,23.317594467291848,DIREITA
250000004997,JOÃO JORGE,PSDB,42404,2016,339344.64,515803.85280000005,12.16403765682483,DIREITA
250000005003,DANIEL ANNENBERG,PSDB,36983,2016,622449.26,946122.8752,25.582642706108214,DIREITA
250000005006,GILSON BARRETO,PSDB,38564,2016,315762.42,479958.8784,12.445775293019397,DIREITA
250000005798,JANAINA LIMA,NOVO,19425,2016,304017.98,462107.3296,23.789309117117117,DIREITA
250000008293,ANDRÉ SANTOS,PRB,37393,2016,136263.8,207120.976,5.539030727676303,DESCONHECIDO
250000008347,ATILIO FRANCISCO,PRB,46961,2016,96377.18,146493.3136,3.1194675070803433,DESCONHECIDO
250000008365,SOUZA SANTOS,PRB,55924,2016,272900.56,414808.8512,7.417367341391889,DESCONHECIDO
250000008366,RINALDI DIGILIO,PRB,20916,2016,192080.0,291961.6,13.958768406961177,DESCONHECIDO
250000008375,GILBERTO NASCIMENTO JR,PSC,30382,2016,696763.86,1059081.0672,34.85883309854519,DIREITA
250000010842,SONINHA,PPS,40113,2016,83245.6,126533.312,3.1544215590955553,DESCONHECIDO
250000010847,CLAUDIO FONSECA,PPS,18444,2016,81487.2,123860.544,6.715492517891997,DESCONHECIDO
250000010863,ZÉ TURIN,PHS,14957,2016,91928.35,139731.092,9.342187069599518,DESCONHECIDO
250000010991,CAMILO CRISTÓFARO,PSB,29603,2016,43189.56,65648.1312,2.217617511738675,ESQUERDA
250000010992,ELISEU GABRIEL,PSB,52355,2016,580297.47,882052.1544,16.847524675771176,ESQUERDA
250000010999,OTA,PSB,45915,2016,170047.34,258471.95679999999,5.629357656539257,ESQUERDA
250000011011,CONTE LOPES,PP,80052,2016,214125.56,325470.8512,4.065742907110378,DIREITA
250000011016,DAVID SOARES,DEM,24892,2016,327005.77,497048.77040000004,19.968213498312714,DIREITA
250000011018,FERNANDO HOLIDAY,DEM,48055,2016,59164.14,89929.4928,1.8713868026219957,DIREITA
250000011022,MILTON LEITE,DEM,107957,2016,2396056.0,3642005.12,33.73570143668312,DIREITA
250000011027,SANDRA TADEU,DEM,34182,2016,664122.47,1009466.1544,29.532097431396643,DIREITA
250000011622,TRIPOLI,PV,88843,2016,517744.57,786971.7464000001,8.858005092128812,CENTRO
250000011624,GILBERTO NATALINI,PV,28006,2016,194032.27,294929.0504,10.530923744911805,CENTRO
250000014868,TONINHO VESPOLI,PSOL,16012,2016,209725.37,318782.5624,19.90897841618786,ESQUERDA
250000014885,SÂMIA BOMFIM,PSOL,12464,2016,45004.78,68407.2656,5.488387804878049,ESQUERDA
250000019125,ADILSON AMADEU,PTB,67071,2016,230780.0,350785.6,5.2300636638785765,DIREITA
250000019126,PAULO FRANGE,PTB,29242,2016,583665.06,887170.8912000001,30.338926585048906,DIREITA
250000020779,GEORGE HATO,PMDB,26104,2016,440827.42,670057.6784,25.668774072939012,DESCONHECIDO
250000020813,RICARDO NUNES,PMDB,54692,2016,757606.86,1151562.4272,21.055408966576465,DESCONHECIDO
250000020825,EDIR SALES,PSD,39062,2016,696302.46,1058379.7392,27.09486813783216,DIREITA
250000020837,POLICE NETO,PSD,33537,2016,370683.62,563439.1024,16.80052188329308,DIREITA
250000020852,RODRIGO GOULART,PSD,49364,2016,1086525.56,1651518.8512000002,33.45593653674743,DIREITA
250000020854,RUTE COSTA,PSD,33999,2016,373085.75,567090.34,16.67961822406541,DIREITA
250000022073,ALESSANDRO GUEDES,PT,26780,2016,248417.27,377594.25039999996,14.099859985063478,ESQUERDA
250000022074,ALFREDINHO,PT,36324,2016,357368.57,543200.2264,14.954306419997799,ESQUERDA
250000022075,DONATO,PT,32592,2016,992219.14,1508173.0928,46.27433397152676,ESQUERDA
250000022076,ARSELINO TATTO,PT,26596,2016,196457.79,298615.8408,11.227847826740863,ESQUERDA
250000022081,EDUARDO SUPLICY,PT,301446,2016,207189.53,314928.0856,1.0447247122204308,ESQUERDA
250000022084,JAIR TATTO,PT,30989,2016,198295.99,301409.9048,9.726351440833845,ESQUERDA
